sample_id,video_id,frame_idx,label,prediction,confidence,prob_fake
cdfv2_frames__id8_id6_0002_frame0439,frames/id8_id6_0002,439,1,1,0.9728,0.9728
cdfv2_frames__id30_id20_0004_frame0026,frames/id30_id20_0004,26,1,1,0.5276,0.5276
cdfv2_frames__00244_frame0167,frames/00244,167,0,1,0.9138,0.9138
cdfv2_frames__id4_id37_0006_frame0252,frames/id4_id37_0006,252,1,1,0.9061,0.9061
cdfv2_frames__00254_frame0373,frames/00254,373,0,0,0.9008,0.0992
cdfv2_frames__id21_id20_0006_frame0242,frames/id21_id20_0006,242,1,1,0.972,0.972
cdfv2_frames__id10_id7_0005_frame0306,frames/id10_id7_0005,306,1,1,0.9573,0.9573
cdfv2_frames__00194_frame0267,frames/00194,267,0,0,0.9077,0.0923
cdfv2_frames__id3_id20_0008_frame0058,frames/id3_id20_0008,58,1,1,0.8817,0.8817
cdfv2_frames__id2_id6_0002_frame0081,frames/id2_id6_0002,81,1,1,0.9112,0.9112
cdfv2_frames__00023_frame0298,frames/00023,298,0,0,0.7827,0.2173
cdfv2_frames__id29_0009_frame0289,frames/id29_0009,289,0,0,0.7847,0.2153
cdfv2_frames__id8_id5_0008_frame0422,frames/id8_id5_0008,422,1,1,0.9694,0.9694
cdfv2_frames__id17_id31_0009_frame0258,frames/id17_id31_0009,258,1,1,0.9181,0.9181
cdfv2_frames__id30_id21_0005_frame0273,frames/id30_id21_0005,273,1,1,0.954,0.954
cdfv2_frames__00273_frame0051,frames/00273,51,0,0,0.8278,0.1722
cdfv2_frames__id2_0003_frame0061,frames/id2_0003,61,0,0,0.5536,0.4464
cdfv2_frames__id30_0007_frame0088,frames/id30_0007,88,0,1,0.7231,0.7231
cdfv2_frames__id17_id1_0000_frame0127,frames/id17_id1_0000,127,1,0,0.5722,0.4278
cdfv2_frames__id36_0001_frame0329,frames/id36_0001,329,0,1,0.5565,0.5565
cdfv2_frames__id28_id4_0006_frame0000,frames/id28_id4_0006,0,1,1,0.9685,0.9685
cdfv2_frames__id9_id2_0008_frame0059,frames/id9_id2_0008,59,1,1,0.9611,0.9611
cdfv2_frames__id6_0002_frame0177,frames/id6_0002,177,0,0,0.7373000000000001,0.2627
cdfv2_frames__id16_id28_0005_frame0066,frames/id16_id28_0005,66,1,1,0.5758,0.5758
cdfv2_frames__id17_0000_frame0304,frames/id17_0000,304,0,1,0.5184,0.5184
cdfv2_frames__id20_id31_0006_frame0126,frames/id20_id31_0006,126,1,0,0.5121,0.4879
cdfv2_frames__id8_id6_0002_frame0253,frames/id8_id6_0002,253,1,1,0.9717,0.9717
cdfv2_frames__00286_frame0000,frames/00286,0,0,0,0.853,0.147
cdfv2_frames__id2_id0_0008_frame0382,frames/id2_id0_0008,382,1,1,0.9717,0.9717
cdfv2_frames__id16_id1_0011_frame0017,frames/id16_id1_0011,17,1,1,0.8108,0.8108
cdfv2_frames__id47_id43_0007_frame0033,frames/id47_id43_0007,33,1,1,0.962,0.962
cdfv2_frames__id33_id32_0006_frame0051,frames/id33_id32_0006,51,1,0,0.7804,0.2196
cdfv2_frames__00260_frame0010,frames/00260,10,0,0,0.736,0.264
cdfv2_frames__id27_id21_0008_frame0276,frames/id27_id21_0008,276,1,1,0.9566,0.9566
cdfv2_frames__id26_0008_frame0194,frames/id26_0008,194,0,1,0.6184,0.6184
cdfv2_frames__id23_id3_0009_frame0101,frames/id23_id3_0009,101,1,0,0.7,0.3
cdfv2_frames__id16_id21_0002_frame0023,frames/id16_id21_0002,23,1,0,0.7941,0.2059
cdfv2_frames__id10_id12_0004_frame0183,frames/id10_id12_0004,183,1,1,0.9633,0.9633
cdfv2_frames__00106_frame0031,frames/00106,31,0,0,0.7176,0.2824
cdfv2_frames__id3_0001_frame0122,frames/id3_0001,122,0,0,0.6738,0.3262
cdfv2_frames__id1_id3_0003_frame0304,frames/id1_id3_0003,304,1,1,0.9071,0.9071
cdfv2_frames__id27_0009_frame0300,frames/id27_0009,300,0,0,0.6304000000000001,0.3696
cdfv2_frames__id43_id40_0005_frame0032,frames/id43_id40_0005,32,1,1,0.9554,0.9554
cdfv2_frames__id37_id31_0008_frame0357,frames/id37_id31_0008,357,1,1,0.9113,0.9113
cdfv2_frames__id23_id35_0006_frame0302,frames/id23_id35_0006,302,1,0,0.5624,0.4376
cdfv2_frames__id24_id26_0009_frame0169,frames/id24_id26_0009,169,1,1,0.901,0.901
cdfv2_frames__id1_id20_0001_frame0069,frames/id1_id20_0001,69,1,1,0.967,0.967
cdfv2_frames__id56_id55_0009_frame0248,frames/id56_id55_0009,248,1,1,0.5509,0.5509
cdfv2_frames__id9_0000_frame0374,frames/id9_0000,374,0,0,0.8946000000000001,0.1054
cdfv2_frames__id57_0003_frame0073,frames/id57_0003,73,0,1,0.64,0.64
cdfv2_frames__id7_0006_frame0116,frames/id7_0006,116,0,0,0.8004,0.1996
cdfv2_frames__id16_id2_0006_frame0021,frames/id16_id2_0006,21,1,1,0.8248,0.8248
cdfv2_frames__id28_id4_0000_frame0318,frames/id28_id4_0000,318,1,1,0.9694,0.9694
cdfv2_frames__id35_id31_0007_frame0051,frames/id35_id31_0007,51,1,1,0.9594,0.9594
cdfv2_frames__id55_id57_0002_frame0040,frames/id55_id57_0002,40,1,1,0.6492,0.6492
cdfv2_frames__00024_frame0299,frames/00024,299,0,0,0.8805000000000001,0.1195
cdfv2_frames__id26_id1_0002_frame0207,frames/id26_id1_0002,207,1,1,0.9137,0.9137
cdfv2_frames__id20_id1_0003_frame0054,frames/id20_id1_0003,54,1,1,0.9733,0.9733
cdfv2_frames__id3_0001_frame0146,frames/id3_0001,146,0,0,0.6554,0.3446
cdfv2_frames__id25_id21_0005_frame0029,frames/id25_id21_0005,29,1,1,0.948,0.948
cdfv2_frames__00138_frame0449,frames/00138,449,0,0,0.8294,0.1706
cdfv2_frames__00170_frame0179,frames/00170,179,0,0,0.6142000000000001,0.3858
cdfv2_frames__id16_id2_0011_frame0192,frames/id16_id2_0011,192,1,1,0.6137,0.6137
cdfv2_frames__00207_frame0076,frames/00207,76,0,0,0.8965,0.1035
cdfv2_frames__00285_frame0259,frames/00285,259,0,1,0.9252,0.9252
cdfv2_frames__00273_frame0237,frames/00273,237,0,0,0.6641,0.3359
cdfv2_frames__id9_id16_0007_frame0176,frames/id9_id16_0007,176,1,1,0.9695,0.9695
cdfv2_frames__id37_id21_0005_frame0206,frames/id37_id21_0005,206,1,1,0.97,0.97
cdfv2_frames__id27_id26_0006_frame0123,frames/id27_id26_0006,123,1,1,0.9393,0.9393
cdfv2_frames__id2_0003_frame0000,frames/id2_0003,0,0,0,0.6677,0.3323
cdfv2_frames__id9_id26_0000_frame0187,frames/id9_id26_0000,187,1,1,0.9659,0.9659
cdfv2_frames__id36_0006_frame0166,frames/id36_0006,166,0,0,0.7777000000000001,0.2223
cdfv2_frames__id20_id31_0006_frame0232,frames/id20_id31_0006,232,1,1,0.824,0.824
cdfv2_frames__id13_id7_0012_frame0476,frames/id13_id7_0012,476,1,1,0.9245,0.9245
cdfv2_frames__id24_id21_0006_frame0239,frames/id24_id21_0006,239,1,1,0.7543,0.7543
cdfv2_frames__id21_id20_0006_frame0300,frames/id21_id20_0006,300,1,1,0.9705,0.9705
cdfv2_frames__00278_frame0350,frames/00278,350,0,1,0.8574,0.8574
cdfv2_frames__id23_id35_0006_frame0111,frames/id23_id35_0006,111,1,1,0.5012,0.5012
cdfv2_frames__id30_id20_0004_frame0169,frames/id30_id20_0004,169,1,1,0.5751,0.5751
cdfv2_frames__id27_id25_0008_frame0149,frames/id27_id25_0008,149,1,1,0.767,0.767
cdfv2_frames__00258_frame0400,frames/00258,400,0,0,0.9063,0.0937
cdfv2_frames__id17_id2_0003_frame0206,frames/id17_id2_0003,206,1,1,0.9256,0.9256
cdfv2_frames__id33_0008_frame0503,frames/id33_0008,503,0,0,0.7246,0.2754
cdfv2_frames__id53_id52_0003_frame0045,frames/id53_id52_0003,45,1,0,0.7412000000000001,0.2588
cdfv2_frames__id21_id6_0005_frame0026,frames/id21_id6_0005,26,1,1,0.9435,0.9435
cdfv2_frames__id11_0006_frame0284,frames/id11_0006,284,0,1,0.8663,0.8663
cdfv2_frames__id58_id57_0008_frame0387,frames/id58_id57_0008,387,1,1,0.9189,0.9189
cdfv2_frames__id6_id0_0005_frame0263,frames/id6_id0_0005,263,1,1,0.9746,0.9746
cdfv2_frames__00170_frame0335,frames/00170,335,0,1,0.6915,0.6915
cdfv2_frames__id3_id6_0001_frame0085,frames/id3_id6_0001,85,1,1,0.945,0.945
cdfv2_frames__id6_id2_0005_frame0239,frames/id6_id2_0005,239,1,1,0.9615,0.9615
cdfv2_frames__id4_0004_frame0098,frames/id4_0004,98,0,1,0.7459,0.7459
cdfv2_frames__id4_id0_0004_frame0042,frames/id4_id0_0004,42,1,1,0.9644,0.9644
cdfv2_frames__id39_id44_0008_frame0090,frames/id39_id44_0008,90,1,1,0.9636,0.9636
cdfv2_frames__id16_id2_0001_frame0162,frames/id16_id2_0001,162,1,0,0.8771,0.1229
cdfv2_frames__id10_id11_0004_frame0316,frames/id10_id11_0004,316,1,1,0.7613,0.7613
cdfv2_frames__id12_0005_frame0201,frames/id12_0005,201,0,0,0.6890000000000001,0.311
cdfv2_frames__id25_id19_0008_frame0238,frames/id25_id19_0008,238,1,1,0.9522,0.9522
cdfv2_frames__id32_0006_frame0328,frames/id32_0006,328,0,0,0.7644,0.2356
cdfv2_frames__id1_id2_0007_frame0147,frames/id1_id2_0007,147,1,1,0.9647,0.9647
cdfv2_frames__00263_frame0209,frames/00263,209,0,0,0.5052,0.4948
cdfv2_frames__id13_id7_0012_frame0197,frames/id13_id7_0012,197,1,1,0.969,0.969
cdfv2_frames__00213_frame0074,frames/00213,74,0,0,0.5946,0.4054
cdfv2_frames__id28_id6_0006_frame0322,frames/id28_id6_0006,322,1,1,0.8996,0.8996
cdfv2_frames__id30_id20_0004_frame0312,frames/id30_id20_0004,312,1,0,0.7475,0.2525
cdfv2_frames__id25_id28_0003_frame0016,frames/id25_id28_0003,16,1,1,0.9671,0.9671
cdfv2_frames__id4_id20_0000_frame0291,frames/id4_id20_0000,291,1,1,0.8763,0.8763
cdfv2_frames__id35_0000_frame0235,frames/id35_0000,235,0,0,0.7994,0.2006
cdfv2_frames__id2_0003_frame0320,frames/id2_0003,320,0,1,0.5344,0.5344
cdfv2_frames__id37_0009_frame0472,frames/id37_0009,472,0,0,0.531,0.469
cdfv2_frames__id30_id23_0002_frame0419,frames/id30_id23_0002,419,1,1,0.9385,0.9385
cdfv2_frames__id16_id20_0000_frame0050,frames/id16_id20_0000,50,1,1,0.8916,0.8916
cdfv2_frames__id13_0011_frame0195,frames/id13_0011,195,0,0,0.6048,0.3952
cdfv2_frames__id21_0006_frame0230,frames/id21_0006,230,0,1,0.9111,0.9111
cdfv2_frames__id4_id20_0008_frame0115,frames/id4_id20_0008,115,1,1,0.9718,0.9718
cdfv2_frames__id9_id20_0002_frame0140,frames/id9_id20_0002,140,1,1,0.9161,0.9161
cdfv2_frames__id31_id33_0008_frame0000,frames/id31_id33_0008,0,1,1,0.9631,0.9631
cdfv2_frames__id20_id9_0008_frame0010,frames/id20_id9_0008,10,1,1,0.8094,0.8094
cdfv2_frames__id8_id5_0008_frame0495,frames/id8_id5_0008,495,1,1,0.9605,0.9605
cdfv2_frames__00011_frame0105,frames/00011,105,0,1,0.7593,0.7593
cdfv2_frames__id30_id21_0002_frame0359,frames/id30_id21_0002,359,1,1,0.9641,0.9641
cdfv2_frames__id31_id30_0009_frame0137,frames/id31_id30_0009,137,1,0,0.6003000000000001,0.3997
cdfv2_frames__id32_id33_0002_frame0381,frames/id32_id33_0002,381,1,1,0.9669,0.9669
cdfv2_frames__id6_id20_0007_frame0179,frames/id6_id20_0007,179,1,1,0.5514,0.5514
cdfv2_frames__id56_id54_0007_frame0143,frames/id56_id54_0007,143,1,1,0.9562,0.9562
cdfv2_frames__id30_id26_0004_frame0039,frames/id30_id26_0004,39,1,1,0.5813,0.5813
cdfv2_frames__id17_id2_0000_frame0186,frames/id17_id2_0000,186,1,1,0.6288,0.6288
cdfv2_frames__00279_frame0174,frames/00279,174,0,0,0.5284,0.4716
cdfv2_frames__id32_0003_frame0288,frames/id32_0003,288,0,0,0.7793,0.2207
cdfv2_frames__id3_id16_0001_frame0097,frames/id3_id16_0001,97,1,1,0.9665,0.9665
cdfv2_frames__id7_id13_0009_frame0412,frames/id7_id13_0009,412,1,0,0.5706,0.4294
cdfv2_frames__id9_id1_0000_frame0403,frames/id9_id1_0000,403,1,1,0.9685,0.9685
cdfv2_frames__id51_0005_frame0172,frames/id51_0005,172,0,0,0.5059,0.4941
cdfv2_frames__id21_id19_0005_frame0137,frames/id21_id19_0005,137,1,1,0.9569,0.9569
cdfv2_frames__id25_id21_0005_frame0039,frames/id25_id21_0005,39,1,1,0.9332,0.9332
cdfv2_frames__id19_0007_frame0263,frames/id19_0007,263,0,1,0.6112,0.6112
cdfv2_frames__id51_0001_frame0118,frames/id51_0001,118,0,0,0.8427,0.1573
cdfv2_frames__id9_id2_0000_frame0144,frames/id9_id2_0000,144,1,1,0.9724,0.9724
cdfv2_frames__id25_id28_0010_frame0114,frames/id25_id28_0010,114,1,1,0.9666,0.9666
cdfv2_frames__id17_id0_0000_frame0147,frames/id17_id0_0000,147,1,1,0.956,0.956
cdfv2_frames__id45_id39_0008_frame0289,frames/id45_id39_0008,289,1,1,0.898,0.898
cdfv2_frames__00266_frame0042,frames/00266,42,0,0,0.9057999999999999,0.0942
cdfv2_frames__id17_id16_0000_frame0274,frames/id17_id16_0000,274,1,1,0.9455,0.9455
cdfv2_frames__00095_frame0015,frames/00095,15,0,0,0.8287,0.1713
cdfv2_frames__id31_id2_0004_frame0254,frames/id31_id2_0004,254,1,1,0.7872,0.7872
cdfv2_frames__id32_id33_0004_frame0000,frames/id32_id33_0004,0,1,0,0.5161,0.4839
cdfv2_frames__id4_id0_0001_frame0014,frames/id4_id0_0001,14,1,1,0.9733,0.9733
cdfv2_frames__id23_id35_0006_frame0161,frames/id23_id35_0006,161,1,1,0.8152,0.8152
cdfv2_frames__00285_frame0403,frames/00285,403,0,1,0.7304,0.7304
cdfv2_frames__id36_0002_frame0455,frames/id36_0002,455,0,0,0.8392,0.1608
cdfv2_frames__id32_0008_frame0274,frames/id32_0008,274,0,0,0.7221,0.2779
cdfv2_frames__id2_id26_0001_frame0012,frames/id2_id26_0001,12,1,1,0.8657,0.8657
cdfv2_frames__id0_id16_0007_frame0000,frames/id0_id16_0007,0,1,1,0.9386,0.9386
cdfv2_frames__id17_id31_0009_frame0009,frames/id17_id31_0009,9,1,1,0.9597,0.9597
cdfv2_frames__id2_id1_0004_frame0177,frames/id2_id1_0004,177,1,0,0.6514,0.3486
cdfv2_frames__id40_0003_frame0030,frames/id40_0003,30,0,1,0.7782,0.7782
cdfv2_frames__id23_id35_0006_frame0090,frames/id23_id35_0006,90,1,0,0.654,0.346
cdfv2_frames__00213_frame0385,frames/00213,385,0,1,0.8788,0.8788
cdfv2_frames__id22_0000_frame0038,frames/id22_0000,38,0,0,0.5697,0.4303
cdfv2_frames__00269_frame0020,frames/00269,20,0,0,0.9102,0.0898
cdfv2_frames__id25_id23_0010_frame0296,frames/id25_id23_0010,296,1,1,0.9506,0.9506
cdfv2_frames__id37_id3_0004_frame0083,frames/id37_id3_0004,83,1,1,0.9712,0.9712
cdfv2_frames__00048_frame0405,frames/00048,405,0,1,0.8035,0.8035
cdfv2_frames__00133_frame0000,frames/00133,0,0,0,0.5815,0.4185
cdfv2_frames__id0_id16_0004_frame0146,frames/id0_id16_0004,146,1,1,0.8764,0.8764
cdfv2_frames__id19_0005_frame0238,frames/id19_0005,238,0,0,0.6416,0.3584
cdfv2_frames__id2_id16_0004_frame0150,frames/id2_id16_0004,150,1,1,0.8045,0.8045
cdfv2_frames__id24_id20_0009_frame0009,frames/id24_id20_0009,9,1,1,0.9367,0.9367
cdfv2_frames__id43_id40_0005_frame0160,frames/id43_id40_0005,160,1,1,0.9555,0.9555
cdfv2_frames__id16_id3_0009_frame0040,frames/id16_id3_0009,40,1,1,0.9247,0.9247
cdfv2_frames__id21_0009_frame0092,frames/id21_0009,92,0,0,0.5941000000000001,0.4059
cdfv2_frames__id21_id2_0002_frame0247,frames/id21_id2_0002,247,1,1,0.9468,0.9468
cdfv2_frames__id0_id3_0007_frame0447,frames/id0_id3_0007,447,1,1,0.7827,0.7827
cdfv2_frames__id34_id33_0005_frame0415,frames/id34_id33_0005,415,1,0,0.8772,0.1228
cdfv2_frames__id20_id1_0007_frame0145,frames/id20_id1_0007,145,1,1,0.9013,0.9013
cdfv2_frames__id32_0008_frame0395,frames/id32_0008,395,0,0,0.7758,0.2242
cdfv2_frames__id28_id0_0009_frame0319,frames/id28_id0_0009,319,1,1,0.9424,0.9424
cdfv2_frames__id43_id39_0000_frame0266,frames/id43_id39_0000,266,1,1,0.8537,0.8537
cdfv2_frames__id27_id24_0007_frame0319,frames/id27_id24_0007,319,1,1,0.932,0.932
cdfv2_frames__id9_id2_0006_frame0116,frames/id9_id2_0006,116,1,1,0.7047,0.7047
cdfv2_frames__id36_0006_frame0136,frames/id36_0006,136,0,0,0.8144,0.1856
cdfv2_frames__id20_id31_0008_frame0173,frames/id20_id31_0008,173,1,1,0.9719,0.9719
cdfv2_frames__id10_id11_0004_frame0216,frames/id10_id11_0004,216,1,1,0.8064,0.8064
cdfv2_frames__id33_id32_0006_frame0102,frames/id33_id32_0006,102,1,1,0.6683,0.6683
cdfv2_frames__id54_id56_0000_frame0062,frames/id54_id56_0000,62,1,0,0.6305000000000001,0.3695
cdfv2_frames__id20_id31_0006_frame0327,frames/id20_id31_0006,327,1,1,0.7436,0.7436
cdfv2_frames__id20_id0_0006_frame0116,frames/id20_id0_0006,116,1,1,0.8002,0.8002
cdfv2_frames__id19_id20_0000_frame0136,frames/id19_id20_0000,136,1,1,0.9577,0.9577
cdfv2_frames__00277_frame0299,frames/00277,299,0,0,0.9117,0.0883
cdfv2_frames__00244_frame0065,frames/00244,65,0,1,0.8648,0.8648
cdfv2_frames__00271_frame0244,frames/00271,244,0,1,0.549,0.549
cdfv2_frames__id4_id0_0004_frame0000,frames/id4_id0_0004,0,1,1,0.7161,0.7161
cdfv2_frames__id7_id10_0009_frame0221,frames/id7_id10_0009,221,1,1,0.9514,0.9514
cdfv2_frames__id35_0008_frame0107,frames/id35_0008,107,0,0,0.8296,0.1704
cdfv2_frames__id17_id2_0007_frame0026,frames/id17_id2_0007,26,1,1,0.9621,0.9621
cdfv2_frames__id9_id23_0009_frame0080,frames/id9_id23_0009,80,1,1,0.9571,0.9571
cdfv2_frames__id17_id2_0007_frame0132,frames/id17_id2_0007,132,1,1,0.9562,0.9562
cdfv2_frames__id30_id3_0002_frame0104,frames/id30_id3_0002,104,1,1,0.9043,0.9043
cdfv2_frames__id27_id19_0001_frame0000,frames/id27_id19_0001,0,1,1,0.8695,0.8695
cdfv2_frames__id25_id24_0003_frame0192,frames/id25_id24_0003,192,1,1,0.8385,0.8385
cdfv2_frames__id57_id51_0000_frame0638,frames/id57_id51_0000,638,1,0,0.6091,0.3909
cdfv2_frames__id4_id26_0007_frame0445,frames/id4_id26_0007,445,1,1,0.9727,0.9727
cdfv2_frames__id4_id6_0002_frame0379,frames/id4_id6_0002,379,1,1,0.9646,0.9646
cdfv2_frames__id56_0000_frame0422,frames/id56_0000,422,0,0,0.6997,0.3003
cdfv2_frames__id16_id3_0009_frame0091,frames/id16_id3_0009,91,1,1,0.9671,0.9671
cdfv2_frames__id10_id13_0007_frame0159,frames/id10_id13_0007,159,1,1,0.9213,0.9213
cdfv2_frames__id6_id21_0006_frame0189,frames/id6_id21_0006,189,1,0,0.6113,0.3887
cdfv2_frames__00287_frame0451,frames/00287,451,0,0,0.838,0.162
cdfv2_frames__id4_id6_0002_frame0079,frames/id4_id6_0002,79,1,1,0.9514,0.9514
cdfv2_frames__00119_frame0109,frames/00119,109,0,0,0.8965,0.1035
cdfv2_frames__id0_id1_0000_frame0075,frames/id0_id1_0000,75,1,1,0.8415,0.8415
cdfv2_frames__id6_0005_frame0347,frames/id6_0005,347,0,0,0.5045999999999999,0.4954
cdfv2_frames__00270_frame0091,frames/00270,91,0,0,0.9026,0.0974
cdfv2_frames__00254_frame0283,frames/00254,283,0,0,0.8465,0.1535
cdfv2_frames__id9_id0_0000_frame0086,frames/id9_id0_0000,86,1,1,0.973,0.973
cdfv2_frames__id39_id44_0008_frame0100,frames/id39_id44_0008,100,1,1,0.9669,0.9669
cdfv2_frames__id1_id9_0007_frame0263,frames/id1_id9_0007,263,1,1,0.8474,0.8474
cdfv2_frames__id20_id31_0008_frame0217,frames/id20_id31_0008,217,1,1,0.9701,0.9701
cdfv2_frames__id53_0007_frame0143,frames/id53_0007,143,0,1,0.6983,0.6983
cdfv2_frames__id30_id3_0006_frame0023,frames/id30_id3_0006,23,1,1,0.8528,0.8528
cdfv2_frames__id26_id1_0002_frame0227,frames/id26_id1_0002,227,1,1,0.9555,0.9555
cdfv2_frames__id50_0003_frame0060,frames/id50_0003,60,0,0,0.6583,0.3417
cdfv2_frames__id28_id21_0006_frame0238,frames/id28_id21_0006,238,1,1,0.9123,0.9123
cdfv2_frames__id28_id20_0008_frame0198,frames/id28_id20_0008,198,1,1,0.9491,0.9491
cdfv2_frames__id24_id21_0006_frame0250,frames/id24_id21_0006,250,1,1,0.5481,0.5481
cdfv2_frames__00279_frame0349,frames/00279,349,0,0,0.6548,0.3452
cdfv2_frames__id4_id23_0006_frame0087,frames/id4_id23_0006,87,1,1,0.8976,0.8976
cdfv2_frames__id16_id20_0006_frame0151,frames/id16_id20_0006,151,1,1,0.9699,0.9699
cdfv2_frames__id38_id34_0004_frame0264,frames/id38_id34_0004,264,1,1,0.5655,0.5655
cdfv2_frames__id11_0006_frame0121,frames/id11_0006,121,0,0,0.9105,0.0895
cdfv2_frames__id22_id27_0001_frame0199,frames/id22_id27_0001,199,1,1,0.9716,0.9716
cdfv2_frames__id21_id28_0009_frame0041,frames/id21_id28_0009,41,1,1,0.9666,0.9666
cdfv2_frames__id35_id31_0007_frame0038,frames/id35_id31_0007,38,1,1,0.75,0.75
cdfv2_frames__id3_0008_frame0044,frames/id3_0008,44,0,0,0.8187,0.1813
cdfv2_frames__id21_id20_0006_frame0219,frames/id21_id20_0006,219,1,1,0.97,0.97
cdfv2_frames__id23_id35_0006_frame0020,frames/id23_id35_0006,20,1,1,0.5496,0.5496
cdfv2_frames__id34_id32_0007_frame0015,frames/id34_id32_0007,15,1,1,0.6647,0.6647
cdfv2_frames__id30_id34_0003_frame0196,frames/id30_id34_0003,196,1,1,0.7569,0.7569
cdfv2_frames__id1_id17_0007_frame0168,frames/id1_id17_0007,168,1,1,0.904,0.904
cdfv2_frames__id1_id23_0006_frame0341,frames/id1_id23_0006,341,1,1,0.9406,0.9406
cdfv2_frames__id24_id26_0004_frame0196,frames/id24_id26_0004,196,1,1,0.9017,0.9017
cdfv2_frames__id55_id57_0002_frame0403,frames/id55_id57_0002,403,1,1,0.832,0.832
cdfv2_frames__00261_frame0092,frames/00261,92,0,0,0.8302,0.1698
cdfv2_frames__id28_id26_0000_frame0212,frames/id28_id26_0000,212,1,0,0.5638000000000001,0.4362
cdfv2_frames__id49_id52_0005_frame0385,frames/id49_id52_0005,385,1,1,0.9712,0.9712
cdfv2_frames__id56_id55_0009_frame0162,frames/id56_id55_0009,162,1,1,0.8833,0.8833
cdfv2_frames__id10_id7_0005_frame0214,frames/id10_id7_0005,214,1,1,0.8976,0.8976
cdfv2_frames__id1_id9_0007_frame0284,frames/id1_id9_0007,284,1,1,0.889,0.889
cdfv2_frames__id27_id22_0007_frame0042,frames/id27_id22_0007,42,1,1,0.7926,0.7926
cdfv2_frames__id7_id11_0009_frame0191,frames/id7_id11_0009,191,1,1,0.9316,0.9316
cdfv2_frames__id23_id19_0000_frame0010,frames/id23_id19_0000,10,1,1,0.7683,0.7683
cdfv2_frames__id30_id28_0000_frame0162,frames/id30_id28_0000,162,1,0,0.7458,0.2542
cdfv2_frames__id7_id11_0009_frame0162,frames/id7_id11_0009,162,1,1,0.8985,0.8985
cdfv2_frames__id33_id32_0006_frame0000,frames/id33_id32_0006,0,1,0,0.857,0.143
cdfv2_frames__id1_id3_0007_frame0042,frames/id1_id3_0007,42,1,1,0.9432,0.9432
cdfv2_frames__id24_id19_0000_frame0084,frames/id24_id19_0000,84,1,0,0.8462000000000001,0.1538
cdfv2_frames__id25_id19_0008_frame0031,frames/id25_id19_0008,31,1,1,0.9523,0.9523
cdfv2_frames__id48_id47_0008_frame0239,frames/id48_id47_0008,239,1,1,0.9548,0.9548
cdfv2_frames__id16_id0_0011_frame0236,frames/id16_id0_0011,236,1,1,0.6296,0.6296
cdfv2_frames__id35_0000_frame0407,frames/id35_0000,407,0,0,0.8316,0.1684
